table,column,missing_count,total_rows,missing_rate
orders,order_approved_at,160,99441,0.0016
orders,order_delivered_carrier_date,1783,99441,0.0179
orders,order_delivered_customer_date,2965,99441,0.0298
products,product_category_name,610,32951,0.0185
products,product_name_lenght,610,32951,0.0185
products,product_description_lenght,610,32951,0.0185
products,product_photos_qty,610,32951,0.0185
products,product_weight_g,2,32951,0.0001
products,product_length_cm,2,32951,0.0001
products,product_height_cm,2,32951,0.0001
products,product_width_cm,2,32951,0.0001
reviews,review_comment_title,87656,99224,0.8834
reviews,review_comment_message,58247,99224,0.587
